id,station_name,data_source,lat,lon,http_link,host
-,Kabul,MN6,34.55,69.217,/AFG_Kabul_MN6.zip,MN6
-,Hato-Curacao_Intl_AP,MN6,12.2,-68.967,/ANT_Hato-Curacao_Intl_AP_MN6.zip,MN6
-,Reina_Beatrix_Intl_AP-Aruba,MN6,12.5,-70.01,/ANT_Reina_Beatrix_Intl_AP-Aruba_MN6.zip,MN6
-,Al_Ain_Intl_AP,MN6,24.25,55.6,/ARE_Al_Ain_Intl_AP_MN6.zip,MN6
-,Dubai_Intl_AP,MN6,25.25,55.333,/ARE_Dubai_Intl_AP_MN6.zip,MN6
-,La_Plata_MODIFIED,MN6,-34.97,-57.9,/ARG_La_Plata_MODIFIED_MN6.zip,MN6
-,Bariloche,MN6,-41.15,-71.167,/ARG_Bariloche_MN6.zip,MN6
-,La_Plata,MN6,-34.97,-57.9,/ARG_La_Plata_MN6.zip,MN6
-,Mendoza_AP,MN6,-32.833,-68.783,/ARG_Mendoza_AP_MN6.zip,MN6
-,Mendoza,MN6,-32.7,-68,/ARG_Mendoza_MN6.zip,MN6
-,Rosario,MN6,-32.917,-60.783,/ARG_Rosario_MN6.zip,MN6
-,Talpalque,MN6,-36.35,-60,/ARG_Talpalque_MN6.zip,MN6
-,McMurdo_Station,MN6,-77.85,166.6667,/ATA_McMurdo_Station_MN6.zip,MN6
-,Showa_Station,MN6,-69,39.583,/ATA_Showa_Station_MN6.zip,MN6
-,Kramsach,MN6,47.442,11.876,/AUT_Kramsach_MN6.zip,MN6
-,Baku_Observatory,MN6,40.38,49.85,/AZE_Baku_Observatory_MN6.zip,MN6
-,Auvelais-Sambreville,MN6,50.43,4.63,/BEL_Auvelais-Sambreville_MN6.zip,MN6
-,Belene,MN6,43.65,25.117,/BGR_Belene_MN6.zip,MN6
-,Bahrain_Intl_AP,MN6,26.27,50.65,/BHR_Bahrain_Intl_AP_MN6.zip,MN6
-,Freeport_Intl_AP,MN6,26.55,-78.7,/BHS_Freeport_Intl_AP_MN6.zip,MN6
-,Nassau_Intl_AP,MN6,25.05,-77.467,/BHS_Nassau_Intl_AP_MN6.zip,MN6
-,Bermuda_Intl_AP,MN6,32.36,-64.68,/BMU_Bermuda_Intl_AP_MN6.zip,MN6
-,MA_Sao_Luis-Marechal,MN6,-2.6,-44.23,/BRA_MA_Sao_Luis-Marechal_MN6.zip,MN6
-,RJ_Niteroi,MN6,-22.883,-43.104,/BRA_RJ_Niteroi_MN6.zip,MN6
-,RJ_Porto_Real,MN6,-22.42,-44.29,/BRA_RJ_Porto_Real_MN6.zip,MN6
-,RS_Erechim,MN6,-27.634,-52.274,/BRA_RS_Erechim_MN6.zip,MN6
-,RS_Porto_Alegre,MN6,-30.017,-51.217,/BRA_RS_Porto_Alegre_MN6.zip,MN6
-,SP_Campinas-Varicopos,MN6,-23,-47.13,/BRA_SP_Campinas-Varicopos_MN6.zip,MN6
-,SP_Santos,MN6,-23.84,-46.37,/BRA_SP_Santos_MN6.zip,MN6
-,SP_Sao_Carlos,MN6,-22.017,-47.883,/BRA_SP_Sao_Carlos_MN6.zip,MN6
-,Thimphu,MN6,27.47,89.6417,/BTN_Thimphu_MN6.zip,MN6
-,ON_Hamilton_AP,MN6,43.167,-79.933,/CAN_ON_Hamilton_AP_MN6.zip,MN6
-,Bern-Liebefeld,MN6,46.928,7.42,/CHE_Bern-Liebefeld_MN6.zip,MN6
-,Copiapo_Chamonate,MN6,-27.3,-70.417,/CHL_Copiapo_Chamonate_MN6.zip,MN6
-,Santiago,MN6,-33.383,-70.783,/CHL_Santiago_MN6.zip,MN6
-,Temuco-Maquehue,MN6,-38.75,-72.633,/CHL_Temuco-Maquehue_MN6.zip,MN6
-,Valparaiso-El_Bellot,MN6,-33.05,-71.35,/CHL_Valparaiso-El_Bellot_MN6.zip,MN6
-,Dali,MN6,25.7,100.18,/CHN_Dali_MN6.zip,MN6
-,Dongguan,MN6,22.836,113.801,/CHN_Dongguan_MN6.zip,MN6
-,Kangding-Dardo,MN6,30.05,101.96,/CHN_Kangding-Dardo_MN6.zip,MN6
-,Ningbo,MN6,29.88,121.55,/CHN_Ningbo_MN6.zip,MN6
-,Panzhihua,MN6,26.55,101.73,/CHN_Panzhihua_MN6.zip,MN6
-,Pingwu,MN6,32.41,104.51,/CHN_Pingwu_MN6.zip,MN6
-,Suzhou_Jiangsu,MN6,31.3,120.62,/CHN_Suzhou_Jiangsu_MN6.zip,MN6
-,Wuxi_Jiangsu,MN6,31.58,120.3,/CHN_Wuxi_Jiangsu_MN6.zip,MN6
-,Zhengzhou_Henan,MN6,34.717,113.65,/CHN_Zhengzhou_Henan_MN6.zip,MN6
-,Zhongshan_Guangdong,MN6,22.496,113.393,/CHN_Zhongshan_Guangdong_MN6.zip,MN6
-,Barrancabermeja-Yari,MN6,7.017,-73.8,/COL_Barrancabermeja-Yari_MN6.zip,MN6
-,Barranquilla,MN6,11,-74.83,/COL_Barranquilla_MN6.zip,MN6
-,Cali-Alfonso_Bonill-Valle,MN6,3.55,-76.383,/COL_Cali-Alfonso_Bonill-Valle_MN6.zip,MN6
-,Cali-Valle,MN6,3.421,-76.522,/COL_Cali-Valle_MN6.zip,MN6
-,Cartagena-Rafael_Nunez_AP,MN6,10.45,-75.517,/COL_Cartagena-Rafael_Nunez_AP_MN6.zip,MN6
-,Guasca,MN6,4.866,-73.876,/COL_Guasca_MN6.zip,MN6
-,Medellin,MN6,6.251,-75.576,/COL_Medellin_MN6.zip,MN6
-,Pitalito_Huilia,MN6,1.867,-76.03,/COL_Pitalito_Huilia_MN6.zip,MN6
-,Riohacha,MN6,11.55,-72.9,/COL_Riohacha_MN6.zip,MN6
-,Villa_de_Leyva,MN6,5.63,-73.52,/COL_Villa_de_Leyva_MN6.zip,MN6
-,Paraiso_Guanacaste,MN6,10.19,-85.787,/CRI_Paraiso_Guanacaste_MN6.zip,MN6
-,Puntarenas,MN6,9.97,-84.833,/CRI_Puntarenas_MN6.zip,MN6
-,San_Jose,MN6,9.98,-84.07,/CRI_San_Jose_MN6.zip,MN6
-,Luebeck,MN6,53.87,10.67,/DEU_Luebeck_MN6.zip,MN6
-,Rostock-Warnemunde,MN6,54.18,12.083,/DEU_Rostock-Warnemunde_MN6.zip,MN6
-,Tramm,MN6,53.521,11.649,/DEU_Tramm_MN6.zip,MN6
-,Santo_Domingo,MN6,18.48,-69.917,/DOM_Santo_Domingo_MN6.zip,MN6
-,Guyaquil_AP,MN6,-2.15,-79.883,/ECU_Guyaquil_AP_MN6.zip,MN6
-,Tena_original,MN6,-1.092,-77.5,/ECU_Tena_original.zip,MN6
-,Almeria_AP,MN6,36.85,-2.383,/ESP_Almeria_AP_MN6.zip,MN6
-,Arnedo,MN6,42.228,-2.101,/ESP_Arnedo_MN6.zip,MN6
-,Barcelona-Sabadell,MN6,41.55,2.1,/ESP_Barcelona-Sabadell_MN6.zip,MN6
-,Barcelona,MN6,41.283,2.067,/ESP_Barcelona_MN6.zip,MN6
-,Bilbao-Sondica,MN6,43.3,-2.93,/ESP_Bilbao-Sondica_MN6.zip,MN6
-,Burgos,MN6,42.367,-3.633,/ESP_Burgos_MN6.zip,MN6
-,Cerdanyola,MN6,41.5,2.12,/ESP_Cerdanyola_MN6.zip,MN6
-,Deltebre,MN6,40.72,0.7,/ESP_Deltebre_MN6.zip,MN6
-,Gijon,MN6,43.538,-5.642,/ESP_Gijon_MN6.zip,MN6
-,La_Molina,MN6,42.344,1.957,/ESP_La_Molina_MN6.zip,MN6
-,Las_Palmas-Canarias,MN6,28.1,-15.43,/ESP_Las_Palmas-Canarias_MN6.zip,MN6
-,Lerida,MN6,41.6,0.6,/ESP_Lerida_MN6.zip,MN6
-,Malaga,MN6,36.667,-4.483,/ESP_Malaga_MN6.zip,MN6
-,Palamos_Girona,MN6,41.85,3.13,/ESP_Palamos_Girona_MN6.zip,MN6
